INB_ATLAS_PC,Inv_Extranjera,Desempleados,Activos,Zona,Porcentaje Activo,Porcentaje 15-64,Porcentaje 0-14,Porcentaje 65 o mas,Total Poblacion,hoover
63170.0,258390000000.0,3.896,165483020.0,N_America,0.5065484,0.6548331,0.18709041,0.15807655,326687500.0,"Zona: N_America, % Pob. Activa 50.7%, Inv. Extranjera por 1000 hab 790939"
34469.54,71905800000.0,7.2694016,216488450.0,Europa,0.4845459,0.6468886,0.15148038,0.20163101,446786270.0,"Zona: Europa, % Pob. Activa 48.5%, Inv. Extranjera por 1000 hab 160940"
41310.0,24605911000.0,2.4,68358370.0,Japon,0.54025805,0.5972678,0.12696849,0.2757637,126529100.0,"Zona: Japon, % Pob. Activa 54.0%, Inv. Extranjera por 1000 hab 194468"
11124.504,1349950000000.0,5.391889,3427481300.0,Mundo,0.4515773,0.6533035,0.2579699,0.08872662,7590021000.0,"Zona: Mundo, % Pob. Activa 45.2%, Inv. Extranjera por 1000 hab 177859"
