Series Code,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
SP.POP.65UP.MA.IN,EUU,26983340.0,27574608.0,28190808.0,28822236.0,29404372.0,29908384.0,30480380.0,30977640.0,31440948.0,31918126.0,32456152.0,33001840.0,33755536.0,34601584.0,35454260.0,36267550.0,37089280.0,37838290.0,38556690.0,
SP.POP.65UP.MA.IN,JPN,8956200.0,9282301.0,9608821.0,9936892.0,10251173.0,10568710.0,10885517.0,11201906.0,11520347.0,11864448.0,12257292.0,12640688.0,13061619.0,13497300.0,13914095.0,14294734.0,14634284.0,14930064.0,15185127.0,
SP.POP.65UP.MA.IN,WLD,182952450.0,188218660.0,193541300.0,198763470.0,203579410.0,207872750.0,212957360.0,217597600.0,222107020.0,226798880.0,231918460.0,238213470.0,244914060.0,252106320.0,260008750.0,268746340.0,279268130.0,290411330.0,301860600.0,
SP.POP.65UP.FE.IN,USA,20387124.0,20469860.0,20534404.0,20601784.0,20724462.0,20902768.0,21152004.0,21452008.0,21818560.0,22251372.0,22763564.0,23320072.0,23957268.0,24649584.0,25398692.0,26188372.0,26999912.0,27796212.0,28582660.0,
SP.POP.65UP.FE.IN,EUU,40416964.0,40935136.0,41510324.0,42133056.0,42723984.0,43248040.0,43743440.0,44167960.0,44565790.0,44992412.0,45507430.0,45918188.0,46622330.0,47480484.0,48384704.0,49271108.0,50063868.0,50801132.0,51530044.0,
SP.POP.65UP.FE.IN,JPN,12587381.0,12978169.0,13370380.0,13766451.0,14148188.0,14541693.0,14912658.0,15291655.0,15675525.0,16087526.0,16555986.0,16963836.0,17414552.0,17887816.0,18350684.0,18786504.0,19136532.0,19441928.0,19708026.0,
SP.POP.65UP.FE.IN,WLD,237176350.0,242573150.0,248226000.0,253971700.0,259457920.0,264534260.0,269942100.0,274996260.0,280057570.0,285514660.0,291676030.0,298568960.0,306233440.0,314699070.0,324104400.0,334532600.0,346160770.0,358609150.0,371579620.0,
SP.POP.65UP.TO,USA,34801176.0,35090876.0,35353640.0,35618524.0,35964060.0,36383150.0,36942170.0,37569160.0,38300984.0,39152172.0,40155436.0,41282104.0,42559976.0,43939064.0,45414230.0,46950236.0,48549960.0,50110708.0,51641630.0,
SP.POP.65UP.TO,EUU,67400320.0,68508730.0,69700020.0,70954590.0,72128136.0,73156430.0,74223640.0,75144936.0,76005590.0,76909416.0,77963570.0,78917510.0,80374180.0,82078616.0,83836856.0,85538664.0,87152450.0,88638590.0,90085970.0,
SP.POP.65UP.TO,JPN,21543580.0,22260296.0,22978948.0,23703098.0,24399196.0,25110400.0,25797976.0,26493152.0,27195328.0,27951520.0,28813280.0,29603888.0,30475172.0,31384096.0,32264096.0,33081240.0,33770148.0,34370970.0,34892132.0,
SP.POP.65UP.TO,WLD,420128860.0,430789730.0,441763970.0,452731700.0,463035040.0,472407100.0,482896160.0,492589380.0,502160400.0,512310750.0,523594530.0,536777820.0,551140700.0,566798700.0,584109000.0,603279000.0,625426000.0,649016770.0,673436900.0,
SP.POP.0014.MA.IN,USA,31330276.0,31396354.0,31501156.0,31584884.0,31622792.0,31577348.0,31782380.0,31886002.0,31928302.0,31946372.0,31967004.0,31898118.0,31801548.0,31687668.0,31593584.0,31510030.0,31404868.0,31327678.0,31239420.0,
SP.POP.0014.MA.IN,EUU,37177190.0,36683584.0,36239064.0,35865770.0,35545530.0,35275100.0,35150050.0,35079110.0,35040330.0,34982824.0,34882064.0,34828360.0,34793520.0,34749884.0,34726530.0,34736210.0,34691936.0,34714260.0,34775124.0,
SP.POP.0014.MA.IN,JPN,9625977.0,9515389.0,9398422.0,9283012.0,9167575.0,9072012.0,8983847.0,8928017.0,8883347.0,8834377.0,8781659.0,8732166.0,8675816.0,8613124.0,8547248.0,8479674.0,8420062.0,8340585.0,8247185.0,
SP.POP.0014.MA.IN,WLD,949936800.0,951979500.0,951337860.0,949166200.0,947539300.0,947552200.0,949437950.0,952666300.0,957118850.0,961941800.0,966669630.0,972251600.0,977693200.0,983081300.0,988580800.0,994159400.0,1000025000.0,1005787600.0,1011137100.0,
SP.POP.0014.FE.IN,USA,29907092.0,29953328.0,30039940.0,30115848.0,30158888.0,30129872.0,30332736.0,30438116.0,30486116.0,30509792.0,30530820.0,30491300.0,30409424.0,30300804.0,30208460.0,30127998.0,30029420.0,29959876.0,29880716.0,
SP.POP.0014.FE.IN,EUU,35331570.0,34867730.0,34445584.0,34089652.0,33785244.0,33529536.0,33395964.0,33319358.0,33278780.0,33222484.0,33121786.0,33057672.0,33010220.0,32952136.0,32911492.0,32900348.0,32849580.0,32858412.0,32903910.0,
SP.POP.0014.FE.IN,JPN,9126335.0,9021855.0,8910849.0,8800893.0,8690637.0,8598839.0,8515507.0,8463087.0,8421074.0,8374067.0,8321810.0,8277190.0,8225217.0,8165949.0,8102183.0,8035159.0,7980334.0,7906038.0,7817817.0,
SP.POP.0014.FE.IN,WLD,893280450.0,894521200.0,892966460.0,889858370.0,887364900.0,886624830.0,887674430.0,890214900.0,894101600.0,898428900.0,902703170.0,908010560.0,913219100.0,918423600.0,923800960.0,929317250.0,935328400.0,941262660.0,946850100.0,
SP.POP.0014.TO,USA,61237370.0,61349550.0,61540960.0,61700652.0,61781644.0,61707216.0,62115320.0,62324460.0,62414796.0,62456436.0,62497824.0,62389680.0,62211250.0,61988640.0,61802096.0,61638028.0,61434230.0,61287490.0,61120096.0,
SP.POP.0014.TO,EUU,72508770.0,71551630.0,70685010.0,69955656.0,69330856.0,68804620.0,68546090.0,68398700.0,68319520.0,68205704.0,68003864.0,67886840.0,67804936.0,67703130.0,67638700.0,67636580.0,67541780.0,67573010.0,67679350.0,
SP.POP.0014.TO,JPN,18752312.0,18537284.0,18309332.0,18083960.0,17858252.0,17670854.0,17499392.0,17391196.0,17304542.0,17208544.0,17103468.0,17009492.0,16901252.0,16779296.0,16649583.0,16514831.0,16400528.0,16246827.0,16065209.0,
SP.POP.0014.TO,WLD,1843217300.0,1846494800.0,1844294900.0,1839014800.0,1834897800.0,1834177000.0,1837112300.0,1842883800.0,1851226000.0,1860376000.0,1869372800.0,1880268900.0,1890920300.0,1901511200.0,1912385200.0,1923476700.0,1935358100.0,1947058400.0,1957996900.0,
SP.POP.1564.MA.IN,USA,93239650.0,94410730.0,95474910.0,96471064.0,97587330.0,98768470.0,99695550.0,100693340.0,101717390.0,102625730.0,103405230.0,104049470.0,104679560.0,105229770.0,105788450.0,106319960.0,106806370.0,107149700.0,107346580.0,
SP.POP.1564.MA.IN,EUU,144851400.0,145066050.0,145423800.0,145967630.0,146546220.0,147100880.0,147366620.0,147668380.0,147934400.0,148025940.0,147900420.0,147041570.0,146664700.0,146418100.0,146175380.0,145889440.0,145654080.0,145294510.0,144936900.0,
SP.POP.1564.MA.IN,JPN,43707890.0,43615250.0,43524230.0,43419292.0,43215630.0,42973812.0,42759264.0,42545550.0,42278070.0,41952990.0,41604516.0,41137820.0,40659104.0,40183780.0,39739204.0,39349870.0,38988696.0,38661364.0,38365440.0,
SP.POP.1564.MA.IN,WLD,1944338000.0,1977317400.0,2012899000.0,2050234000.0,2087738600.0,2124394100.0,2158768400.0,2192472000.0,2225661000.0,2258177800.0,2290075100.0,2319165200.0,2348801300.0,2378401500.0,2407546600.0,2435915300.0,2462572800.0,2488493300.0,2513570600.0,
SP.POP.1564.FE.IN,USA,92884216.0,94117940.0,95255790.0,96317736.0,97472290.0,98657750.0,99626470.0,100643670.0,101660260.0,102536856.0,103263176.0,103835170.0,104379704.0,104835940.0,105296150.0,105726936.0,106150696.0,106437600.0,106579200.0,
SP.POP.1564.FE.IN,EUU,144568160.0,144768530.0,145072350.0,145537600.0,146034880.0,146520020.0,146861580.0,147255950.0,147616420.0,147776020.0,147664540.0,146899360.0,146549630.0,146267300.0,145924300.0,145479100.0,145136350.0,144625630.0,144083630.0,
SP.POP.1564.FE.IN,JPN,42839220.0,42736040.0,42632296.0,42511460.0,42287796.0,42017936.0,41797210.0,41570784.0,41284636.0,40933588.0,40548736.0,40081296.0,39592692.0,39097030.0,38622584.0,38195060.0,37834600.0,37505816.0,37205508.0,
SP.POP.1564.FE.IN,WLD,1904116600.0,1936530600.0,1971223400.0,2007338800.0,2043337200.0,2078256600.0,2111453600.0,2143773700.0,2175412200.0,2206281500.0,2236435000.0,2264296000.0,2292589000.0,2320663000.0,2347988000.0,2374183700.0,2398890800.0,2422523100.0,2445023200.0,
SP.POP.1564.TO,USA,186123870.0,188528530.0,190730600.0,192788750.0,195059580.0,197426220.0,199322430.0,201337580.0,203378190.0,205162930.0,206668400.0,207885090.0,209059760.0,210066020.0,211084690.0,212046900.0,212957120.0,213587340.0,213925780.0,
SP.POP.1564.TO,EUU,289419520.0,289835260.0,290496930.0,291505700.0,292581250.0,293620900.0,294228320.0,294924770.0,295551550.0,295802700.0,295564960.0,293942620.0,293216800.0,292687740.0,292101100.0,291368500.0,290790850.0,289920640.0,289020960.0,
SP.POP.1564.TO,JPN,86547100.0,86351420.0,86156720.0,85930940.0,85503550.0,84991740.0,84556630.0,84116660.0,83563130.0,82886936.0,82153250.0,81219624.0,80252580.0,79281610.0,78362320.0,77544930.0,76823830.0,76168000.0,75571760.0,
SP.POP.1564.TO,WLD,3848454700.0,3913856000.0,3984135200.0,4057586000.0,4131084500.0,4202650600.0,4270225400.0,4336247300.0,4401072000.0,4464457000.0,4526510000.0,4583459000.0,4641389600.0,4699065000.0,4755535400.0,4810099000.0,4861461500.0,4911012400.0,4958587400.0,
SL.TLF.TOTL.FE.ZS,USA,45.562645,45.621494,45.673367,45.823673,45.754826,45.787308,45.769638,45.82259,45.973007,46.18004,46.18389,46.111145,45.939175,45.910038,45.965847,45.863377,45.87068,46.02508,46.053673,46.031116
SL.TLF.TOTL.FE.ZS,EUU,43.55233,43.643784,43.787334,43.9993,44.139038,44.24741,44.451843,44.5756,44.722404,44.973923,45.145885,45.33793,45.51158,45.650444,45.72788,45.740192,45.809,45.833515,45.84576,45.873238
SL.TLF.TOTL.FE.ZS,JPN,40.3536,40.556202,40.524048,40.695442,40.852814,40.997967,41.12442,41.119396,41.25955,41.591816,41.734337,41.765232,41.93683,42.348606,42.59073,42.805164,43.110947,43.50272,43.935863,44.024155
SL.TLF.TOTL.FE.ZS,WLD,39.493477,39.47471,39.475697,39.5092,39.48706,39.503036,39.414394,39.372364,39.261795,39.221348,39.101826,38.998264,38.90702,38.881866,38.864162,38.871777,38.88328,38.897392,38.916473,38.849033
