titulo,ranking
Expansion - Hearts of Iron IV: Man the Guns,639
State of Decay 2: Juggernaut Edition,573
Madden NFL 24,870
Trailmakers,653
Terra Invicta,657
ACE COMBAT™ 7: SKIES UNKNOWN,685
Spirit City: Lofi Sessions,686
Liftoff®: FPV Drone Racing,582
Rec Room,884
Squad 44,717
Sapiens,535
New Cycle,615
Unpacking,773
SPORE™,829
Caves of Qud,692
Scrap Mechanic,817
Forza Motorsport,747
Rising Front,906
Overcooked! All You Can Eat,720
The Sims™ 4 City Living,807
Los Sims™ 4 Vida en el Pueblo - Pack de Expansión,676
Gym Simulator 24,635
Fallout Shelter,733
Songs of Syx,701
Total War: THREE KINGDOMS,705
RAILGRADE,688
Prison Architect,671
Let's School,827
Los Sims™ 4 ¡A Trabajar!,754
Los Sims™ 4 Rancho de Caballos Pack de Expansión,739
Call of the Wild: The Angler™,891
"Papers, Please",786
Fishing Planet: Japan Odyssey Pack,729
dotAGE,751
War of Rights,887
Kenshi,818
Factory Outlet Simulator,630
Feed and Grow: Fish,812
Forza Horizon 5 JDM Jewels Car Pack,699
Battle Brothers,924
Keep Talking and Nobody Explodes,823
Stellaris: Astral Planes,833
鬼谷八荒 Tale of Immortal,874
BMX Streets,880
X-Plane 12,820
Hydroneer: Journey to Volcalidus,750
Crestfallen: Medieval Survival,627
UBOAT,799
Crusader Kings III: Northern Lords,775
ROMANCE OF THE THREE KINGDOMS XIV,621
Golf It!,878
Dustland Delivery,800
TaleSpire,1028
Quasimorph,1026
Chinese Parents,844
We Who Are About To Die,952
Easy Red 2,937
Happy Sheepies,682
Viscera Cleanup Detail,911
Fishing Planet: Ocean Voyager Pack,811
Tour de France 2024,678
美女，请别影响我学习,798
RIDE 5,1145
Los Sims™ 4 Años High School Pack de Expansión,949
Ancestors: The Humankind Odyssey,797
The Universim,728
The Long Dark: Tales from the Far Territory,843
Los Sims™ 4 Se Alquila Pack de Expansión,691
Operation: New Earth,962
Farm Together 2,783
American Truck Simulator - Kansas,856
Lobotomy Corporation | Monster Management Simulation,982
WolfQuest: Anniversary Edition,973
Stronghold: Definitive Edition,832
Total War: ATTILA,810
Hardspace: Shipbreaker,896
Carrier Command 2,968
大侠立志传,913
Paleo Pines,1002
Endzone - A World Apart,779
My Singing Monsters,1038
F1® 23,668
Euro Truck Simulator 2 - Iberia,674
Wreckfest,976
Brick Rigs,1036
Crusader Kings III: Wards & Wardens,853
Root,1257
KovaaK's,920
Taxi Life: A City Driving Simulator,861
Crusader Kings III: Fate of Iberia,866
Horticular,869
Police Simulator: Patrol Officers: Highway Patrol Expansion,931
The Sims™ 4 Seasons,922
"Flashing Lights - Police, Firefighting, Emergency Services (EMS) Simulator",1011
The Mortuary Assistant,1201
Love Is All Around,939
Hexarchy,882
"Cook, Serve, Delicious! 3?!",634
STAR WARS™ Empire at War - Gold Pack,953
Company of Heroes 2,921
EA SPORTS™ WRC,1279
Endorphin Vice,956
Monster Prom 2: Monster Camp,1165
I Am Future: Cozy Apocalypse Survival,902
American Truck Simulator - Oklahoma,1020
Euro Truck Simulator 2 - Road to the Black Sea,748
电竞教父,1122
僕、アルバイトォォ！！,1007
RollerCoaster Tycoon® 3: Complete Edition,914
Beltmatic,835
IL-2 Sturmovik: Battle of Stalingrad,778
Internet Cafe Simulator 2,967
Starship Troopers: Terran Command,776
Urbek City Builder,768
Stranded Deep,944
Euro Truck Simulator 2 - Scandinavia,837
Five Nights at Freddy's: Help Wanted 2,1101
Counter-Strike: Source,965
Mind Over Magic,1072
Production Line : Car factory simulation,966
The Sims™ 4 Vampires,1099
Kerbal Space Program,899
X4: Timelines,904
Codename: Ocean Keeper,863
Mobiles Tycoon,822
DSX,934
Steel Division 2,903
Ravenfield,1023
TopSpin 2K25,898
Clothing Store Simulator,838
Le Mans Ultimate,777
Pavlov,1063
Need for Speed™ Unbound,1085
BONEWORKS,1293
Age of Mythology: Extended Edition,855
Airport CEO,828
Don't Starve,974
Desynced: Autonomous Colony Simulator,999
Uncrashed : FPV Drone Simulator,947
MONOPOLY® PLUS,1268
Farthest Frontier,1053
Plague Inc: Evolved,1009
Besiege,971
Planet Zoo: Barnyard Animal Pack,892
Republic of Pirates,1014
OMSI 2: Steam Edition,714
Euro Truck Simulator 2 - Beyond the Baltic Sea,791
Farming Simulator 22 - Platinum Expansion,954
Kingdom Two Crowns,1024
Thief Simulator 2,897
Transport Fever 2,826
Football Manager 2024 In-game Editor,886
Immersion Pack - Europa Universalis IV: King of Kings,964
Stormworks: Search and Destroy,1217
Stronghold Crusader 2,1010
Dorfromantik,1128
Assassin's Creed® Unity,1066
Your Only Move Is HUSTLE,1354
Euro Truck Simulator 2 - Italia,865
Euro Truck Simulator 2 - Vive la France !,907
A Total War Saga: TROY,842
Book Of Yog Idle RPG 依盖之书,1091
Kingdoms and Castles,943
Cookie Clicker,1111
Echoes of the Plum Grove,1255
Wrench,970
Fae Farm,862
"Hot Dogs, Horseshoes & Hand Grenades",1104
The Sims™ 4 Get Famous,998
Turing Complete,988
Monster Prom,1377
Derail Valley,1083
Railroader,1132
Expansion - Europa Universalis IV: Domination,888
Mr. Prepper,1039
Rusty's Retirement,1152
Lawn Mowing Simulator,1219
Los Sims™ 4 Vida Isleña,1067
RealFlight Evolution,872
American Truck Simulator - Montana,1158
Automobilista 2,912
Millennia,845
Stellaris: Galactic Paragons,1242
HARD BULLET,1166
Country Pack - Hearts of Iron IV: Battle for the Bosporus,1075
My Garage,1592
Oblivity - Find your perfect Sensitivity,1103
AutoForge,1202
NBA 2K23,1118
Session: Skate Sim Paris,1181
Graveyard Keeper,875
Potion Craft: Alchemist Simulator,1062
Spirit of the Island,1147
Workers & Resources: Soviet Republic - Biomes,977
60 Seconds! Reatomized,1151
Cat Goes Fishing,1070
Cooking Simulator,1123
Dune: Imperium,1003
News Tower,1300
战姬军团,1610
Rising Storm 2: Vietnam,1309
Total War: MEDIEVAL II – Definitive Edition,987
Ultimate Epic Battle Simulator 2,1037
Nuclear Option,1167
Captain of Industry,1041
Battle Talent,1421
Mars First Logistics,4301
Ultimate Admiral: Dreadnoughts,1149
Definitely Not Fried Chicken,1155
Laysara: Summit Kingdom,1064
Mr.President!,955
Forager,1282
Waltz of the Wizard,1139
American Truck Simulator - Colorado,1172
Ship Graveyard Simulator 2,1043
Nexus 5X,1210
Build Master: MarsVille,1665
American Truck Simulator - New Mexico,1054
Test Drive Unlimited Solar Crown,848
Crusader Kings II,1052
Galactic Civilizations IV,1040
Arma 3 Creator DLC: S.O.G. Prairie Fire,1319
Ark of Charon,1184
Los Sims™ 4 Creciendo en Familia Pack de Expansión,1078
"Ranch Simulator: Build, Farm, Hunt",1087
东方夜雀食堂 - Touhou Mystia's Izakaya,1384
"Buena pizza, gran pizza",1363
CONFLICT OF NATIONS: WORLD WAR 3,1288
SpaceEngine,1199
Moonstone Island,1617
Wildmender,1176
Dystopika,1207
American Truck Simulator - Oregon,1462
Kingdoms Reborn,1691
The Sims™ 4 Realm of Magic,1212
Soulash 2,1221
手办冒险团,942
The Sims™ 4 Parenthood,1218
"PowerWash Simulator - Paquete especial de Warhammer 40,000",1160
Goat Simulator 3 - Multiverse of Nonsense,1177
Gas Station Simulator - Tidal Wave DLC,1321
Autopsy Simulator,1224
Stellaris: Overlord,1315
Los Sims™ 4 ¿Quedamos?,1033
theHunter: Call of the Wild™ - High Caliber Weapon Pack,1403
UNDERDOGS,1220
Crusader Kings III: Friends & Foes,1146
American Truck Simulator - Wyoming,1277
HUMANKIND™,1601
Flotsam,1125
Icarus: Nuevas Fronteras,1215
Euro Truck Simulator 2 - Going East!,1115
Los Sims™ 4 Licántropos Pack de Contenido,1313
Fishing Planet: Congo Discovery Pack,1609
The Game of Life 2 - The Ultimate Life Collection,1551
Assetto Corsa - Dream Pack 2,1623
Elite Dangerous: Odyssey,1839
The Escapists 2,1270
Space Engineers - Signal Pack,1280
Renaissance Kingdom Wars,997
Assetto Corsa Competizione - 24H Nürburgring Pack,1057
City Bus Manager,1089
Forever Skies,1105
Life Makeover,1924
"Northgard - Vordr, Clan of the Owl",1350
觅长生,1334
American Truck Simulator - Washington,1504
PowerWash Simulator - SpongeBob SquarePants Special Pack,1552
KinitoPET,1544
Stranded: Alien Dawn,1401
Maniac,1423
Farming Simulator 19,1159
City Car Driving,1074
Forza Horizon 5 Apex Allstars Car Pack,1274
Townscaper,1307
Sledders,2152
