titulo,ranking
Clone Drone in the Danger Zone,901
子归 - Blossom,975
Wildermyth,961
We Were Here Together,858
Root,1257
Paleo Pines,1002
Astral Party,732
Broforce,879
Lorelei and the Laser Eyes,785
Peglin,868
Azure Orphanage,804
Monster Prom 2: Monster Camp,1165
僕、アルバイトォォ！！,1007
I Am Future: Cozy Apocalypse Survival,902
Euro Truck Simulator 2 - Road to the Black Sea,748
American Truck Simulator - Oklahoma,1020
Wreckfest,976
Standable: Full Body Estimation,1245
Internet Cafe Simulator 2,967
电竞教父,1122
BlazBlue Entropy Effect,915
CLICKOLDING,1051
Beltmatic,835
Sea of Stars,1183
Urbek City Builder,768
Muse Dash - Muse Plus,1046
Euro Truck Simulator 2 - Scandinavia,837
The Last Campfire,946
Melvor Idle,994
Mind Over Magic,1072
Production Line : Car factory simulation,966
Bomb Rush Cyberfunk,916
Stranded Deep,944
The Jackbox Party Pack 8,1180
Darkwood,1090
MULLET MADJACK,993
Mobiles Tycoon,822
Steel Division 2,903
Ravenfield,1023
DSX,934
Door Kickers 2: Task Force North,984
Pavlov,1063
Thief Simulator 2,897
Five Nights at Freddy's: Help Wanted 2,1101
Plague Inc: Evolved,1009
Uncrashed : FPV Drone Simulator,947
UNREAL LIFE,945
Trepang2,1098
RISK: Global Domination,1030
Don't Starve,974
SOMA,1189
Euro Truck Simulator 2 - Beyond the Baltic Sea,791
"Warhammer 40,000: Boltgun",1076
Vampire Survivors: Emergency Meeting,1100
Cookie Clicker,1111
Forts,1142
Transport Fever 2,826
Sifu,801
Outlast: Whistleblower DLC,1045
Dorfromantik,1128
Crab God,1238
Flock,1021
Chrono Ark,948
Euro Truck Simulator 2 - Italia,865
Euro Truck Simulator 2 - Vive la France !,907
VTube Studio,1182
Thronefall,1135
BattleBlock Theater®,1356
"Hot Dogs, Horseshoes & Hand Grenades",1104
Wrench,970
Mech Builder,1195
Monster Prom,1377
Getting Over It with Bennett Foddy,1148
Rusty's Retirement,1152
"Warhammer 40,000: Mechanicus",809
Mr. Prepper,1039
Rust - Instruments Pack,1112
American Truck Simulator - Montana,1158
Automobilista 2,912
Return of the Obra Dinn,1205
Derail Valley,1083
HARD BULLET,1166
Oblivity - Find your perfect Sensitivity,1103
Unturned,1130
Session: Skate Sim Paris,1181
Graveyard Keeper,875
Potion Craft: Alchemist Simulator,1062
Workers & Resources: Soviet Republic - Biomes,977
60 Seconds! Reatomized,1151
Streets Of Rage 4 - Mr. X Nightmare,1179
Absolver,1093
Cat Goes Fishing,1070
News Tower,1300
"Ranch Simulator: Build, Farm, Hunt",1087
Chants of Sennaar,1086
Teenage Mutant Ninja Turtles: Shredder's Revenge - Dimension Shellshock,1138
Outer Wilds - Echoes of the Eye,1341
SpaceEngine,1199
BONEWORKS,1293
Perfect Heist 2,1208
Waltz of the Wizard,1139
ShellShock Live,1492
We Were Here Too,1119
