titulo,ranking
Grim Dawn - Forgotten Gods Expansion,1536
Hell Let Loose - Operation Lüttich Units,1782
Lost Ark: Paquete de inicio Definitivo,1641
FAITH: The Unholy Trinity,1833
Jurassic World Evolution 2: Dominion Biosyn Expansion,1409
Call of Duty®: Modern Warfare® II - Paquete Profesional: Parche de Calabaza,1353
Batman: The Enemy Within - The Telltale Series,1841
For Honor - Y8S2 Battle Bundle,1648
Conan Exiles: Isle of Siptah,1771
GoreBox,1797
Lost Ark: Paquete de aceleración,2457
Control Ultimate Edition,2292
Back 4 Blood,1253
Dead by Daylight - A Nightmare on Elm Street™,1635
Jurassic World Evolution 2: Park Managers' Collection Pack,1338
Total War: WARHAMMER - Realm of The Wood Elves,1831
Pathfinder: Wrath of the Righteous - Commander Pack,1657
OUTRIDERS,1640
MADNESS: Project Nexus,2181
Total War: WARHAMMER II - The Twisted & The Twilight,2027
Dead by Daylight - Hellraiser Chapter,1766
Lunacid,1784
The Outer Worlds: Asesinato en Erídano,2032
Wasteland 3,2223
Hotline Miami 2: Wrong Number,2429
Dead Frontier 2,1583
Necromunda: Hired Gun,1801
Dead by Daylight - Maddening Darkness Pack,1944
The Outer Worlds: Peligro en Gorgona,2045
Total War: WARHAMMER II - The Prophet & The Warlock,1645
Total War: WARHAMMER II - Curse of the Vampire Coast,1716
Blood Bowl 3,1626
The Dark Pictures Anthology: Man of Medan,2014
The Walking Dead: Saints & Sinners,3559
Yakuza: Like a Dragon,3963
Warframe: Paquete de Poder Inicial,1562
Visage,2518
A.V.A Global,2386
Intravenous,1783
Total War: WARHAMMER II - The Hunter & The Beast,2026
NieR Replicant™ ver.1.22474487139...,2023
"Warhammer 40,000: Boltgun - Forges of Corruption Expansion",1932
Call of Duty®: Modern Warfare® II - Paquete Profesional: Viajero Cósmico,2435
Call of Duty®: Black Ops III - Zombies Chronicles,1979
Hotline Miami,2210
Black Squad,1603
Doki Doki Literature Club Plus!,1865
CODE VEIN,2756
Deluxe Edition de Mass Effect™: Andromeda,2050
High On Life: High On Knife,1837
Ultimate Heroes Pack – FOR HONOR,1554
HITMAN 3 - Deluxe Pack,1793
Gold Heroes Pack – FOR HONOR,1887
Total War: WARHAMMER II - The Silence & The Fury,2285
Mejora Élite de Battlefield™ 2042,1739
Hunt: Showdown - The Reckoning Son,1670
Ghostrunner,2086
Breakers Collection,2524
METAL GEAR SOLID 2: Sons of Liberty - Master Collection Version,2238
Dead Space™ 3,2283
Shadow Tactics: Blades of the Shogun,1953
The Last Faith,5632
Like a Dragon Gaiden: The Man Who Erased His Name,3005
Dead by Daylight - Sadako Rising Chapter,2144
Streets of Rogue,2562
The Division 2 - One time offer Wrapped Pack (2024),1998
Granny,2101
Katana ZERO,2410
Hunt: Showdown - From the Wilds,1980
Dead by Daylight - Leatherface™,1928
"Warhammer 40,000: Inquisitor - Martyr",2844
Dead by Daylight - The Halloween® Chapter,1984
Barony: Legends & Pariahs,2337
METAL GEAR SOLID 3: Snake Eater - Master Collection Version,1743
Dead by Daylight - Old Wounds Pack,2245
Jurassic World Evolution 2: Secret Species Pack,2006
Total War: WARHAMMER II - The Warden & The Paunch,1956
The Dark Pictures Anthology: Little Hope,2106
Dead by Daylight - Escape Expansion Pack,2933
Homefront®: The Revolution,1891
Barony: Myths & Outcasts,2204
Sniper Elite 4,1726
Blood Trail,2468
Dragon Age II: Ultimate Edition,2369
Company of Heroes,1868
Road Redemption,2322
The Ascent - Cyber Heist,2348
Dead by Daylight - Ghost Face®,2554
Devil May Cry HD Collection,2300
Laika: Aged Through Blood,2345
MechWarrior 5: Mercenaries - Heroes of the Inner Sphere,2813
Call of Duty®: Modern Warfare® II - Paquete Profesional: Ghost Pistolero,2084
Warframe: Colección Sanctum,2187
Will To Live Online,2389
Dead Island Definitive Edition,2142
The Beast Inside,2263
STRANGER OF PARADISE FINAL FANTASY ORIGIN,2225
CARRION,2192
Fear Therapy,2257
MK1: Shang Tsung,2683
Zero Hour,2500
Tom Clancy’s Rainbow Six® Extraction,2717
Kindergarten,2474
Call of Duty®: Modern Warfare® III - Paquete Profesional Lujo Tecnológico,2498
Warframe: Paquete de Iniciación de Armas,2268
Yakuza Kiwami,3311
For Honor - Y8S2 Battle Pass,2433
Hellblade: Senua's Sacrifice,2372
Dead by Daylight - Ash vs Evil Dead,2362
Warhammer: Vermintide 2 - Necromancer Career,2346
Just Die Already,2425
Muv-Luv Alternative (マブラヴ オルタネイティヴ),2854
OTXO,3008
Pathfinder: Wrath of the Righteous - The Last Sarkorians,3039
Crysis 3 Remastered,2188
SAS: Zombie Assault 4,2750
MechWarrior 5: Mercenaries - Call to Arms,3010
171,3219
Iratus: Lord of the Dead,2587
MADiSON,2361
"SAMURAI SHODOWN - DLC CHARACTER ""RIMURURU""",2617
Arma 3 Creator DLC: Spearhead 1944,2105
Rick and Morty: Virtual Rick-ality,0
[NINJA GAIDEN: Master Collection] NINJA GAIDEN Σ2,3207
Arma 3 Creator DLC: Global Mobilization - Cold War Germany,3223
Total War: WARHAMMER II - The Shadow & The Blade,2862
Ironsight,2920
Call of Duty®: Modern Warfare® II - Paquete Profesional: Ciervo Demoníaco,2700
Gears Tactics,2382
Pathfinder: Wrath of the Righteous - The Lord of Nothing,2859
"SAMURAI SHODOWN - DLC CHARACTER ""KAZUKI KAZAMA""",2678
"SAMURAI SHODOWN - DLC CHARACTER ""BASARA""",2680
"SAMURAI SHODOWN - DLC CHARACTER ""WAN-FU""",2682
Total War: THREE KINGDOMS - The Furious Wild,2321
Easy Red 2: Normandy,2954
Crown Wars: The Black Prince,3822
Kit de Atajo de Battlefield™ 1: Paquete Ultimate,2923
Granny Simulator,3032
SCUM Supporter Pack 2,2508
Battlefleet Gothic: Armada 2 - Chaos Campaign Expansion,2496
Primal Carnage: Extinction,3313
DOA6 THE KING OF FIGHTERS XIV Mashup Content Set,2561
World War Z: Aftermath - Valley of the Zeke Episode,2459
