titulo,ranking
Dragonheir: Silent Gods,1019
Crusader Kings III: Northern Lords,775
Chinese Parents,844
Golf It!,878
ROMANCE OF THE THREE KINGDOMS XIV,621
Dustland Delivery,800
"",216
"",216
Quasimorph,1026
Battle Brothers,924
Wandering Sword,770
XCOM® 2,767
We Who Are About To Die,952
Outpost: Infinity Siege,871
Happy Sheepies,682
Keep Talking and Nobody Explodes,823
Total War: WARHAMMER III - Forge of the Chaos Dwarfs,795
Time Break Chronicles,883
Tour de France 2024,678
Carrier Command 2,968
The Universim,728
The Long Dark: Tales from the Far Territory,843
Lobotomy Corporation | Monster Management Simulation,982
"Warhammer 40,000: Rogue Trader - Deluxe Pack",847
SOVL: Fantasy Warfare,824
Sid Meier's Civilization® VI: Byzantium & Gaul Pack,784
Middle-earth™: Shadow of War™,814
Sid Meier's Civilization® VI: Maya & Gran Colombia Pack,840
Sid Meier's Civilization® VI: Vietnam & Kublai Khan Pack,780
Stronghold: Definitive Edition,832
Call to Arms - Gates of Hell: Liberation,815
9-Bit Armies: A Bit Too Far,978
SKALD: Against the Black Priory,821
大侠立志传,913
Kerbal Space Program,899
NARUTO TO BORUTO: SHINOBI STRIKER,983
Crusader Kings III: Wards & Wardens,853
Hardspace: Shipbreaker,896
STAR WARS™ Empire at War - Gold Pack,953
Operation: New Earth,962
Crusader Kings III: Fate of Iberia,866
Endzone - A World Apart,779
Company of Heroes 2,921
Astral Party,732
麻雀一番街,890
Hexarchy,882
Total War: ATTILA,810
Easy Red 2,937
"Cook, Serve, Delicious! 3?!",634
Persona 3 Reload: pase de expansión,1116
Peglin,868
Azure Orphanage,804
Beltmatic,835
Total War: SHOGUN 2,929
Wildermyth,961
RollerCoaster Tycoon® 3: Complete Edition,914
Gloomhaven,1080
From Glory To Goo,991
Door Kickers 2: Task Force North,984
战姬军团,1610
Your Only Move Is HUSTLE,1354
Starship Troopers: Terran Command,776
The Jackbox Party Pack 8,1180
Sid Meier's Civilization® VI: Khmer and Indonesia Civilization & Scenario Pack,959
Root,1257
Production Line : Car factory simulation,966
Counter-Strike: Source,965
X4: Timelines,904
Stranded Deep,944
Mobiles Tycoon,822
MONOPOLY® PLUS,1268
Airport CEO,828
Sid Meier's Civilization® VI: Persia and Macedon Civilization & Scenario Pack,969
Urbek City Builder,768
Farthest Frontier,1053
Steel Division 2,903
RISK: Global Domination,1030
Plague Inc: Evolved,1009
Strategic Command WWII: War in the Pacific,794
Five Nights at Freddy's: Help Wanted 2,1101
Age of Mythology: Extended Edition,855
A Total War Saga: TROY,842
Planet Zoo: Barnyard Animal Pack,892
Total War: ROME REMASTERED,1001
电竞教父,1122
Unspottable,1157
Forts,1142
Ravenfield,1023
Cookie Clicker,1111
Capes,1169
Stormworks: Search and Destroy,1217
Cyber Knights: Flashpoint,989
Republic of Pirates,1014
Chrono Ark,948
Stronghold Crusader 2,1010
Crab God,1238
Desynced: Autonomous Colony Simulator,999
Thronefall,1135
Kingdoms and Castles,943
Quilts and Cats of Calico,2100
"Warhammer 40,000: Mechanicus",809
Dorfromantik,1128
Immersion Pack - Europa Universalis IV: King of Kings,964
Warface: Clutch,894
Getting Over It with Bennett Foddy,1148
AutoForge,1202
"",216
"",216
Dune: Imperium,1003
Rusty's Retirement,1152
Expansion - Europa Universalis IV: Domination,888
Transport Fever 2,826
Kingdom Two Crowns,1024
Counter-Strike,1035
Stellaris: Galactic Paragons,1242
Line War,1032
Oddsparks: Una aventura automatizada,1291
Age of Empires II: Definitive Edition - Return of Rome,938
Country Pack - Hearts of Iron IV: Battle for the Bosporus,1075
60 Seconds! Reatomized,1151
Session: Skate Sim Paris,1181
Total War: MEDIEVAL II – Definitive Edition,987
Workers & Resources: Soviet Republic - Biomes,977
Laysara: Summit Kingdom,1064
Persona 4 Golden,1008
Might & Magic® Heroes® VII,979
Moonstone Island,1617
ShellShock Live,1492
USC: Counterforce,1061
The Jackbox Party Pack 9,1239
Ultimate Epic Battle Simulator 2,1037
The Last Spell - Dwarves of Runenberg,1082
Five Nights at Freddy's 2,1332
Across The Obelisk: Sands of Ulminin,1446
Perfect Heist 2,1208
PlanetSide 2,0
Idle Hero TD - Tower Defense,1234
Nexus 5X,1210
Solasta: Crown of the Magister,1373
Baba Is You,1308
News Tower,1300
The Jackbox Party Pack 6,1386
Build Master: MarsVille,1665
Eiyuden Chronicle: Hundred Heroes,1621
Ark of Charon,1184
Classified: France '44,1301
The Escapists 2,1270
Age of Wonders: Planetfall,1340
Arma 3 Creator DLC: S.O.G. Prairie Fire,1319
War for the Overworld,985
Definitely Not Fried Chicken,1155
Galactic Civilizations IV,1040
Wildmender,1176
CONFLICT OF NATIONS: WORLD WAR 3,1288
Crusader Kings II,1052
Battlefleet Gothic: Armada 2,1133
Millennia,845
The Jackbox Party Pack 4,1440
"",216
Dystopika,1207
Age of Empires II: Definitive Edition - The Mountain Royals,1136
HUMANKIND™,1601
Gladiator Guild Manager,1137
Our Adventurer Guild,1297
Elite Dangerous: Odyssey,1839
Surviving Mars,1385
Idle Slayer,1524
Stoneshard,1134
TROUBLESHOOTER: Abandoned Children,1439
手办冒险团,942
觅长生,1334
Flotsam,1125
Crusader Kings III: Friends & Foes,1146
Farming Simulator 19,1159
Captain of Industry,1041
City Bus Manager,1089
Sid Meier's Civilization® VI: Babylon Pack,1204
Field of Glory: Kingdoms,1096
Seablip,1203
ARK: Scorched Earth - Expansion Pack,1170
"Warhammer 40,000: Battlesector",1432
Kingdoms Reborn,1691
The Game of Life 2 - The Ultimate Life Collection,1551
ARK: Extinction - Expansion Pack,1187
Sid Meier's Civilization® VI: Portugal Pack,1191
Dragon Age: Origins - Ultimate Edition,1510
Thriving City: Song,1328
Dokapon Kingdom: Connect,2015
Sid Meier's Civilization® VI: Ethiopia Pack,1211
Space Engineers - Signal Pack,1280
Command & Conquer™ 4 Tiberian Twilight,1193
"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",1460
Police Stories,1276
Age of Wonders 4: Empires & Ashes,1264
"Northgard - Vordr, Clan of the Owl",1350
Rival Stars Horse Racing: Desktop Edition,1343
Uncharted Waters Origin,1042
Command & Conquer™ 3: Kane’s Wrath,1225
El Reino Robado,1144
The Jackbox Party Pack 5,1542
Pathfinder: Kingmaker — Enhanced Plus Edition,1526
Total War: EMPIRE – Definitive Edition,1424
Command & Conquer 3 Tiberium Wars™,1275
Victoria 3: Voice of the People,1241
Battlefield 4™,1192
Command & Conquer™ Red Alert™ 3,1302
"",216
Combat Mission Battle for Normandy,1410
Stranded: Alien Dawn,1401
HD Poker: Texas Hold'em,2639
SpyParty,2405
"Warhammer 40,000: Warpforge",1395
Baldur's Gate: Enhanced Edition,1555
Astrea: Six-Sided Oracles,1429
One-armed robber,1611
OCTOPATH TRAVELER™,1567
Lost Eidolons,1117
KARDS - El juego de cartas de la Segunda Guerra Mundial,1576
Orcs Must Die! 3 - Tipping the Scales DLC,1335
The Dungeon Of Naheulbeuk: The Amulet Of Chaos,1249
theHunter Classic,1903
Munchkin Digital,1162
Pathfinder: Wrath of the Righteous - A Dance of Masks,1578
Volcano Princess,1498
Company of Heroes 3: Hammer & Shield Expansion Pack,1627
Total War: WARHAMMER II - Rise of the Tomb Kings,1388
Five Nights at Freddy's 4,1660
Renaissance Kingdom Wars,997
Orcs Must Die! 3 - Cold as Eyes DLC,1374
Sid Meier's Civilization® VI: Nubia Civilization & Scenario Pack,1483
Minami Lane,1519
Mini Motorways,1466
GWENT: The Witcher Card Game,1376
The Jackbox Party Pack 10,1417
Sid Meier's Civilization® VI: Poland Civilization & Scenario Pack,1495
Homeworld 3,1349
Anno 1404 - History Edition,1862
The Riftbreaker: Heart of the Swamp,1299
Orcs Must Die! 2,1383
Command & Conquer™ Remastered Collection,1402
Sid Meier's Civilization® VI: Australia Civilization & Scenario Pack,1505
Northgard - Cross of Vidar Expansion Pack,1595
RollerCoaster Tycoon® 2: Triple Thrill Pack,1506
Two Point Hospital,1331
